"CODIGO_DANE","MUNICIPIO","DEPTO","COD_LOCAL","LOCAL","EST_DIRECCION","NIT","OPERADOR","CONTRATO"
"05001","MEDELLÍN","ANTIOQUIA","53.511","WINNER GROUP S.A.","CL 51   51  69","830037843","BROADWAY BOYACA","C1817"
"05001","MEDELLÍN","ANTIOQUIA","53.524","WINNER GROUP S.A.","CL 50   52  56","830037843","BROADWAY COLOMBIA","C1940"
"05001","MEDELLÍN","ANTIOQUIA","52.518","WORLD FANTASTIC SAS","CR 64C74 68","901263738","MAQUINITAS DAGO","C2151"
"05001","MEDELLÍN","ANTIOQUIA","53.630","RECREACIONES JROYAL SAS","CL 79   55  3  Moravia","901516625","CASINO CUATRO J","C2162"
"05001","MEDELLÍN","ANTIOQUIA","54.173","GRUPO EMPRESARIAL DMZ SAS","CR 52   2 SUR 30","901546351","CASINO WYNN LA 30","C1845"
"05001","MEDELLÍN","ANTIOQUIA","54.474","JM HOLDING INVERSIONES SAS","CL 39 D  115  134  SAN JAVIER","901281374","CAFE LA JUGARRETA","C2160"
"05001","MEDELLÍN","ANTIOQUIA","54.522","INVERSIONES RIOS VASQUEZ S.A.S.","CL 3   78  111 PISO 2","900566806","CASINO TRES ESQUINAS","C1713"
"05001","MEDELLÍN","ANTIOQUIA","52.492","ROYAL CASINOS S.A.S.","CL 48   47  16 14","900450104","MAGIC CENTER No. 2","C1767"
"05001","MEDELLÍN","ANTIOQUIA","54.927","WORLD FANTASTIC SAS","CR 64C74 68","901263738","MAQUINITAS DAGO","C1867"
"05001","MEDELLÍN","ANTIOQUIA","44.911","RECREATIVOS MONEY GOLD S.A.S.","CR 82   44  3","901112612","JUEGOS DE AZAR LOS MONTAÑEROS","C1983"
"05001","MEDELLÍN","ANTIOQUIA","47.239","JUEGOS MAX S.A.S.","CR 52 107 50","901121296","SALON DE JUEGOS LA ESTACION","C1755"
"05001","MEDELLÍN","ANTIOQUIA","47.497","DIVERSOLUCIONES S.A.S","CRA 32 106 A 19","901172469","SALA DE JUEGOS EL TESORO","C2071"
"05001","MEDELLÍN","ANTIOQUIA","47.582","INVERSIONES M&M JD SAS","CR 76   30  4","901124349","SALA DE JUEGOS NOCHES DE BELEN","C1793"
"05001","MEDELLÍN","ANTIOQUIA","50.511","INVERSIONES RIOS VASQUEZ S.A.S.","CL 63   128  149","900566806","CASINO RIO DE ORO","C1713"
"05001","MEDELLÍN","ANTIOQUIA","50.916","JUEGOS MONTE CARLO SAS","CL 44   89  22","901280521","CASINO MARCELO","C2042"
"05001","MEDELLÍN","ANTIOQUIA","52.204","ROYAL CASINOS S.A.S.","CL 52   46  70","900450104","CASINO ROYAL","C1767"
"05001","MEDELLÍN","ANTIOQUIA","52.167","ULTRAGAME S.A.S.","CR 53 53 43","901377044","JUEGOS CUNDINAMARCA","C1764"
"05001","MEDELLÍN","ANTIOQUIA","53.074","INVERSIONES M&M JD SAS","CR 56 B  49  7","901124349","BAR Y CASINO EL GAUCHO","C1793"
"05001","MEDELLÍN","ANTIOQUIA","53.644","INVERSIONES GENESIS 27 SAS","CR 86 80A 19","901282863","SALA DE JUEGOS EL DIAMANTE 4","C1792"
"05001","MEDELLÍN","ANTIOQUIA","40.055","EL IMPERIO DE LAS MAQUINAS S.A.S.","KR 46 49 41","811044038","SALON DE JUEGOS CARNAVAL MEDELLIN","C1729"
"05001","MEDELLÍN","ANTIOQUIA","41.096","WINNER GROUP S.A.","CARRERA 43A No 3 SUR-60 LOCAL 101","830037843","HOLLYWOOD CASINO Y CAFE CONCERT MILLA DE ORO","C2093"
"05001","MEDELLÍN","ANTIOQUIA","41.978","JUEGOS MONACO S.A.","CR 65   8 B 91","811040351","DIVERSIONES MONACO","C1834"
"05001","MEDELLÍN","ANTIOQUIA","41.425","AMERICAN GAMES LTDA.","CR 80   49 A 28","806011321","CASINO LA RIVIERA","C1781"
"05001","MEDELLÍN","ANTIOQUIA","41.768","BINGOS CODERE S. A.","CL 10   32  115 LOCAL 9912 9915 9916 9920 VIZCAYA","830147464","CROWN CASINOS VIZCAYA","C1745"
"05001","MEDELLÍN","ANTIOQUIA","41.540","EL IMPERIO DE LAS MAQUINAS S.A.S.","CL 44   51  11","811044038","CASINO ROYAL FLUSH No 1","C1729"
"05001","MEDELLÍN","ANTIOQUIA","42.370","WINNER GROUP S.A.","CR 43 A SUR 3  60 LOCAL 101","830037843","HOLLYWOOD CASINO Y CAFE CONCERT MILLA DE ORO","C2093"
"05001","MEDELLÍN","ANTIOQUIA","42.175","WINNER GROUP S.A.","CR 43 A SUR 6  15 LOCAL 264 5","830037843","CASINO HAVANA OVIEDO","C1940"
"05001","MEDELLÍN","ANTIOQUIA","42.306","INVERSIONES RIOS VASQUEZ S.A.S.","CL 62   130  50","900566806","CASINO LA ABUNDANCIA SAN CRISTOBAL","C1713"
"05001","MEDELLÍN","ANTIOQUIA","60.485","DIVERSIONES JROYAL SAS","CL 123   50 B 45  PLAYON","901370270","CASINO LA 123","C2121"
"05001","MEDELLÍN","ANTIOQUIA","17.962","WINNER GROUP S.A.","CL 34 43 79","830037843","CASINO RIO MEDELLÍN","C2093"
"05001","MEDELLÍN","ANTIOQUIA","17.962","WINNER GROUP S.A.","CL 34 43 79","830037843","CASINO RIO MEDELLÍN","C1940"
"05001","MEDELLÍN","ANTIOQUIA","17.962","WINNER GROUP S.A.","CL 34 43 79","830037843","CASINO RIO MEDELLÍN","C1817"
"05001","MEDELLÍN","ANTIOQUIA","17.220","CODERE COLOMBIA S.A.","CR 64 C 78 344 LC 107","860520306","CASINO FANTASIA ROYAL TERMINAL DEL NORTE","C1948"
"05001","MEDELLÍN","ANTIOQUIA","19.341","MAQUIJUEGOS S.A.S.","CL 44 84 57","811041488","ASTOR","C2053"
"05001","MEDELLÍN","ANTIOQUIA","19.161","INVERSIONES CASH LTDA","CR 51 53 81","811041913","CASINO MAGICO","C1772"
